BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 9
  Time: 2400.0 nanoseconds 
Rightmost Target: 
  Loop: 10
  Time: 1700.0 nanoseconds 
Left Beside Middle: 
  Loop: 10
  Time: 1300.0 nanoseconds 
Right Beside Middle: 
  Loop: 9
  Time: 1200.0 nanoseconds 
 
AVERAGE CASE: 
i:0 875538: Loop = 9, Time = 4700 ns
i:1 1659492: Loop = 10, Time = 2600 ns
i:2 2487583: Loop = 8, Time = 1000 ns
i:3 2558672: Loop = 10, Time = 2000 ns
i:4 4925744: Loop = 9, Time = 1100 ns
i:5 5004079: Loop = 10, Time = 2100 ns
i:6 5342440: Loop = 7, Time = 1600 ns
i:7 6367683: Loop = 10, Time = 1200 ns
i:8 7228005: Loop = 9, Time = 1100 ns
i:9 7738272: Loop = 10, Time = 1100 ns
i:10 9239002: Loop = 8, Time = 1000 ns
i:11 9240247: Loop = 10, Time = 1300 ns
i:12 9246128: Loop = 9, Time = 1100 ns
i:13 14743713: Loop = 10, Time = 12800 ns
i:14 17101682: Loop = 6, Time = 700 ns
i:15 25743933: Loop = 10, Time = 1300 ns
i:16 26824819: Loop = 9, Time = 1000 ns
i:17 28980863: Loop = 10, Time = 1200 ns
i:18 35675435: Loop = 8, Time = 900 ns
i:19 36994656: Loop = 10, Time = 1100 ns
i:20 39873596: Loop = 9, Time = 2400 ns
i:21 40266729: Loop = 10, Time = 1200 ns
i:22 41811796: Loop = 7, Time = 800 ns
i:23 41893364: Loop = 10, Time = 1300 ns
i:24 45299437: Loop = 9, Time = 1100 ns
i:25 45807027: Loop = 10, Time = 1100 ns
i:26 48170154: Loop = 8, Time = 900 ns
i:27 49693565: Loop = 10, Time = 4200 ns
i:28 51652000: Loop = 9, Time = 1100 ns
i:29 52697418: Loop = 10, Time = 1100 ns
i:30 53163481: Loop = 5, Time = 600 ns
i:31 54032077: Loop = 9, Time = 1200 ns
i:32 56205740: Loop = 10, Time = 2600 ns
i:33 56637055: Loop = 8, Time = 700 ns
i:34 57225831: Loop = 10, Time = 1400 ns
i:35 57599997: Loop = 9, Time = 800 ns
i:36 63463244: Loop = 10, Time = 800 ns
i:37 64793277: Loop = 7, Time = 500 ns
i:38 65162586: Loop = 10, Time = 1000 ns
i:39 70495008: Loop = 9, Time = 500 ns
i:40 71580589: Loop = 10, Time = 500 ns
i:41 72207472: Loop = 8, Time = 400 ns
i:42 72837661: Loop = 10, Time = 500 ns
i:43 75307750: Loop = 9, Time = 400 ns
i:44 80244676: Loop = 10, Time = 500 ns
i:45 80939077: Loop = 6, Time = 300 ns
i:46 81179219: Loop = 10, Time = 900 ns
i:47 81232473: Loop = 9, Time = 400 ns
i:48 82085232: Loop = 10, Time = 500 ns
i:49 85129203: Loop = 8, Time = 400 ns
i:50 91939805: Loop = 10, Time = 400 ns
i:51 94443123: Loop = 9, Time = 500 ns
i:52 95282245: Loop = 10, Time = 400 ns
i:53 95286053: Loop = 7, Time = 300 ns
i:54 95453475: Loop = 10, Time = 400 ns
i:55 96010030: Loop = 9, Time = 400 ns
i:56 105603695: Loop = 10, Time = 1700 ns
i:57 106570668: Loop = 8, Time = 10300 ns
i:58 112878710: Loop = 10, Time = 900 ns
i:59 113490861: Loop = 9, Time = 500 ns
i:60 119146008: Loop = 10, Time = 400 ns
i:61 121630136: Loop = 4, Time = 200 ns
i:62 123399639: Loop = 9, Time = 1000 ns
i:63 125177725: Loop = 10, Time = 700 ns
i:64 125960602: Loop = 8, Time = 300 ns
i:65 127621359: Loop = 10, Time = 500 ns
i:66 127743094: Loop = 9, Time = 400 ns
i:67 127914977: Loop = 10, Time = 500 ns
i:68 128570716: Loop = 7, Time = 300 ns
i:69 133380836: Loop = 10, Time = 500 ns
i:70 134329496: Loop = 9, Time = 400 ns
i:71 135104549: Loop = 10, Time = 500 ns
i:72 135399499: Loop = 8, Time = 400 ns
i:73 136601853: Loop = 10, Time = 500 ns
i:74 138569864: Loop = 9, Time = 400 ns
i:75 141423379: Loop = 10, Time = 400 ns
i:76 141824118: Loop = 6, Time = 300 ns
i:77 142332223: Loop = 10, Time = 500 ns
i:78 144945850: Loop = 9, Time = 400 ns
i:79 145090594: Loop = 10, Time = 500 ns
i:80 147814884: Loop = 8, Time = 400 ns
i:81 148928875: Loop = 10, Time = 400 ns
i:82 149586618: Loop = 9, Time = 400 ns
i:83 150501203: Loop = 10, Time = 400 ns
i:84 150878963: Loop = 7, Time = 300 ns
i:85 151670337: Loop = 10, Time = 600 ns
i:86 153208429: Loop = 9, Time = 400 ns
i:87 155155171: Loop = 10, Time = 400 ns
i:88 155602300: Loop = 8, Time = 500 ns
i:89 157804486: Loop = 10, Time = 500 ns
i:90 160148553: Loop = 9, Time = 400 ns
i:91 173086274: Loop = 10, Time = 500 ns
i:92 173497570: Loop = 5, Time = 200 ns
i:93 176594214: Loop = 10, Time = 800 ns
i:94 182521525: Loop = 9, Time = 400 ns
i:95 183208108: Loop = 10, Time = 400 ns
i:96 183820436: Loop = 8, Time = 300 ns
i:97 184608786: Loop = 10, Time = 700 ns
i:98 186245911: Loop = 9, Time = 1200 ns
i:99 187172823: Loop = 10, Time = 500 ns
i:100 189179058: Loop = 7, Time = 300 ns
i:101 189494360: Loop = 10, Time = 500 ns
i:102 202628916: Loop = 9, Time = 400 ns
i:103 207423035: Loop = 10, Time = 600 ns
i:104 207918050: Loop = 8, Time = 400 ns
i:105 216073083: Loop = 10, Time = 500 ns
i:106 217274309: Loop = 9, Time = 400 ns
i:107 217958878: Loop = 10, Time = 400 ns
i:108 219225103: Loop = 6, Time = 300 ns
i:109 219994154: Loop = 10, Time = 700 ns
i:110 220434083: Loop = 9, Time = 400 ns
i:111 221092332: Loop = 10, Time = 500 ns
i:112 221141455: Loop = 8, Time = 400 ns
i:113 223720752: Loop = 10, Time = 800 ns
i:114 224301810: Loop = 9, Time = 400 ns
i:115 225148933: Loop = 10, Time = 400 ns
i:116 226117046: Loop = 7, Time = 300 ns
i:117 226398314: Loop = 10, Time = 700 ns
i:118 228833531: Loop = 9, Time = 400 ns
i:119 229281441: Loop = 10, Time = 500 ns
i:120 229867619: Loop = 8, Time = 400 ns
i:121 231237454: Loop = 10, Time = 500 ns
i:122 233508599: Loop = 9, Time = 400 ns
i:123 236773523: Loop = 10, Time = 400 ns
i:124 236835705: Loop = 3, Time = 100 ns
i:125 239856797: Loop = 9, Time = 900 ns
i:126 240991235: Loop = 10, Time = 500 ns
i:127 242747135: Loop = 8, Time = 500 ns
i:128 242799818: Loop = 10, Time = 600 ns
i:129 244071493: Loop = 9, Time = 400 ns
i:130 247958055: Loop = 10, Time = 400 ns
i:131 248352401: Loop = 7, Time = 300 ns
i:132 248936685: Loop = 10, Time = 600 ns
i:133 250162605: Loop = 9, Time = 400 ns
i:134 250438261: Loop = 10, Time = 400 ns
i:135 254489969: Loop = 8, Time = 600 ns
i:136 254588648: Loop = 10, Time = 500 ns
i:137 258376018: Loop = 9, Time = 400 ns
i:138 259495670: Loop = 10, Time = 500 ns
i:139 259697424: Loop = 6, Time = 300 ns
i:140 260686178: Loop = 10, Time = 600 ns
i:141 262126813: Loop = 9, Time = 800 ns
i:142 262429158: Loop = 10, Time = 700 ns
i:143 264263257: Loop = 8, Time = 700 ns
i:144 264449189: Loop = 10, Time = 800 ns
i:145 265069703: Loop = 9, Time = 700 ns
i:146 271035753: Loop = 10, Time = 500 ns
i:147 271641289: Loop = 7, Time = 300 ns
i:148 272919284: Loop = 10, Time = 500 ns
i:149 273608804: Loop = 9, Time = 400 ns
i:150 273723981: Loop = 10, Time = 500 ns
i:151 277810300: Loop = 8, Time = 400 ns
i:152 279096976: Loop = 10, Time = 400 ns
i:153 279760788: Loop = 9, Time = 400 ns
i:154 280907813: Loop = 10, Time = 400 ns
i:155 282531623: Loop = 5, Time = 200 ns
i:156 289717520: Loop = 9, Time = 700 ns
i:157 294735213: Loop = 10, Time = 400 ns
i:158 299846350: Loop = 8, Time = 400 ns
i:159 300289349: Loop = 10, Time = 400 ns
i:160 301856256: Loop = 9, Time = 400 ns
i:161 307490049: Loop = 10, Time = 500 ns
i:162 309550437: Loop = 7, Time = 300 ns
i:163 312561319: Loop = 10, Time = 500 ns
i:164 315045371: Loop = 9, Time = 400 ns
i:165 316241056: Loop = 10, Time = 500 ns
i:166 317035924: Loop = 8, Time = 300 ns
i:167 317605188: Loop = 10, Time = 600 ns
i:168 318695689: Loop = 9, Time = 400 ns
i:169 321596326: Loop = 10, Time = 400 ns
i:170 325016255: Loop = 6, Time = 500 ns
i:171 326839916: Loop = 10, Time = 700 ns
i:172 327879484: Loop = 9, Time = 400 ns
i:173 327930800: Loop = 10, Time = 400 ns
i:174 328853033: Loop = 8, Time = 400 ns
i:175 331441024: Loop = 10, Time = 500 ns
i:176 333815922: Loop = 9, Time = 300 ns
i:177 338705458: Loop = 10, Time = 500 ns
i:178 338788133: Loop = 7, Time = 300 ns
i:179 339673152: Loop = 10, Time = 500 ns
i:180 341169089: Loop = 9, Time = 400 ns
i:181 341470486: Loop = 10, Time = 500 ns
i:182 344201492: Loop = 8, Time = 400 ns
i:183 345414755: Loop = 10, Time = 500 ns
i:184 346494465: Loop = 9, Time = 400 ns
i:185 349270479: Loop = 10, Time = 400 ns
i:186 351597615: Loop = 4, Time = 200 ns
i:187 356004595: Loop = 9, Time = 900 ns
i:188 358336690: Loop = 10, Time = 500 ns
i:189 359323472: Loop = 8, Time = 400 ns
i:190 362632400: Loop = 10, Time = 500 ns
i:191 363174282: Loop = 9, Time = 400 ns
i:192 365410659: Loop = 10, Time = 400 ns
i:193 368169974: Loop = 7, Time = 300 ns
i:194 368636767: Loop = 10, Time = 500 ns
i:195 368994318: Loop = 9, Time = 400 ns
i:196 370436297: Loop = 10, Time = 400 ns
i:197 371150112: Loop = 8, Time = 300 ns
i:198 372644075: Loop = 10, Time = 500 ns
i:199 375315649: Loop = 9, Time = 300 ns
i:200 376874111: Loop = 10, Time = 900 ns
i:201 377176654: Loop = 6, Time = 300 ns
i:202 379131537: Loop = 10, Time = 500 ns
i:203 379318724: Loop = 9, Time = 400 ns
i:204 382719375: Loop = 10, Time = 500 ns
i:205 387766737: Loop = 8, Time = 400 ns
i:206 390425903: Loop = 10, Time = 500 ns
i:207 390736002: Loop = 9, Time = 400 ns
i:208 391022278: Loop = 10, Time = 400 ns
i:209 394448732: Loop = 7, Time = 300 ns
i:210 398775024: Loop = 10, Time = 400 ns
i:211 406177747: Loop = 9, Time = 400 ns
i:212 407307145: Loop = 10, Time = 400 ns
i:213 407703746: Loop = 8, Time = 500 ns
i:214 409989432: Loop = 10, Time = 400 ns
i:215 412904221: Loop = 9, Time = 400 ns
i:216 413817164: Loop = 10, Time = 500 ns
i:217 419491255: Loop = 5, Time = 200 ns
i:218 423268624: Loop = 10, Time = 700 ns
i:219 429367387: Loop = 9, Time = 400 ns
i:220 435572303: Loop = 10, Time = 400 ns
i:221 461127733: Loop = 8, Time = 400 ns
i:222 467728380: Loop = 10, Time = 400 ns
i:223 467958820: Loop = 9, Time = 300 ns
i:224 468642790: Loop = 10, Time = 400 ns
i:225 469882686: Loop = 7, Time = 300 ns
i:226 470080477: Loop = 10, Time = 400 ns
i:227 471867932: Loop = 9, Time = 700 ns
i:228 472377262: Loop = 10, Time = 400 ns
i:229 474702287: Loop = 8, Time = 400 ns
i:230 477781419: Loop = 10, Time = 400 ns
i:231 482195915: Loop = 9, Time = 400 ns
i:232 482592853: Loop = 10, Time = 400 ns
i:233 485565966: Loop = 6, Time = 300 ns
i:234 488264327: Loop = 10, Time = 500 ns
i:235 488509511: Loop = 9, Time = 400 ns
i:236 488745885: Loop = 10, Time = 400 ns
i:237 490484665: Loop = 8, Time = 400 ns
i:238 494974115: Loop = 10, Time = 500 ns
i:239 495662799: Loop = 9, Time = 400 ns
i:240 495953122: Loop = 10, Time = 400 ns
i:241 495998695: Loop = 7, Time = 300 ns
i:242 496412465: Loop = 10, Time = 500 ns
i:243 501204351: Loop = 9, Time = 400 ns
i:244 504449524: Loop = 10, Time = 400 ns
i:245 505748191: Loop = 8, Time = 400 ns
i:246 505935064: Loop = 10, Time = 400 ns
i:247 506315680: Loop = 9, Time = 300 ns
i:248 510117086: Loop = 10, Time = 400 ns
i:249 511138138: Loop = 2, Time = 100 ns
i:250 511723789: Loop = 9, Time = 2100 ns
i:251 515411965: Loop = 10, Time = 600 ns
i:252 515962109: Loop = 8, Time = 400 ns
i:253 516892379: Loop = 10, Time = 500 ns
i:254 517766348: Loop = 9, Time = 700 ns
i:255 518490874: Loop = 10, Time = 400 ns
i:256 523104388: Loop = 7, Time = 400 ns
i:257 526328820: Loop = 10, Time = 500 ns
i:258 527617998: Loop = 9, Time = 400 ns
i:259 531899549: Loop = 10, Time = 400 ns
i:260 533578572: Loop = 8, Time = 400 ns
i:261 535538838: Loop = 10, Time = 600 ns
i:262 535637694: Loop = 9, Time = 400 ns
i:263 536043834: Loop = 10, Time = 400 ns
i:264 536914062: Loop = 6, Time = 300 ns
i:265 538116104: Loop = 10, Time = 600 ns
i:266 542248850: Loop = 9, Time = 400 ns
i:267 543122274: Loop = 10, Time = 400 ns
i:268 543607690: Loop = 8, Time = 400 ns
i:269 544805048: Loop = 10, Time = 400 ns
i:270 551023535: Loop = 9, Time = 400 ns
i:271 552394315: Loop = 10, Time = 500 ns
i:272 553627737: Loop = 7, Time = 300 ns
i:273 563472677: Loop = 10, Time = 500 ns
i:274 564796337: Loop = 9, Time = 400 ns
i:275 565927020: Loop = 10, Time = 500 ns
i:276 566837439: Loop = 8, Time = 300 ns
i:277 566841272: Loop = 10, Time = 700 ns
i:278 568423854: Loop = 9, Time = 400 ns
i:279 569321842: Loop = 10, Time = 400 ns
i:280 571645541: Loop = 5, Time = 200 ns
i:281 574007727: Loop = 9, Time = 600 ns
i:282 574315975: Loop = 10, Time = 400 ns
i:283 575168419: Loop = 8, Time = 300 ns
i:284 575356090: Loop = 10, Time = 24800 ns
i:285 576670184: Loop = 9, Time = 600 ns
i:286 588921174: Loop = 10, Time = 400 ns
i:287 588976733: Loop = 7, Time = 300 ns
i:288 589299368: Loop = 10, Time = 500 ns
