BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 8
  Time: 2100.0 nanoseconds 
Rightmost Target: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Left Beside Middle: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Right Beside Middle: 
  Loop: 8
  Time: 1700.0 nanoseconds 
 
AVERAGE CASE: 
Index 0 (target 183100): Comparisons = 8, Time = 4200 ns
Index 1 (target 2496303): Comparisons = 9, Time = 2100 ns
Index 2 (target 7976220): Comparisons = 7, Time = 900 ns
Index 3 (target 8059114): Comparisons = 8, Time = 1100 ns
Index 4 (target 9123504): Comparisons = 9, Time = 1100 ns
Index 5 (target 9634587): Comparisons = 6, Time = 1200 ns
Index 6 (target 11333446): Comparisons = 8, Time = 1500 ns
Index 7 (target 12042548): Comparisons = 9, Time = 1000 ns
Index 8 (target 12794979): Comparisons = 7, Time = 800 ns
Index 9 (target 13873432): Comparisons = 9, Time = 1200 ns
Index 10 (target 14855689): Comparisons = 8, Time = 1000 ns
Index 11 (target 16436288): Comparisons = 9, Time = 1000 ns
Index 12 (target 17788698): Comparisons = 5, Time = 600 ns
Index 13 (target 20469164): Comparisons = 8, Time = 6400 ns
Index 14 (target 26880577): Comparisons = 9, Time = 5500 ns
Index 15 (target 28017487): Comparisons = 7, Time = 900 ns
Index 16 (target 28748142): Comparisons = 9, Time = 1300 ns
Index 17 (target 34073163): Comparisons = 8, Time = 1100 ns
Index 18 (target 38697226): Comparisons = 9, Time = 1600 ns
Index 19 (target 40733533): Comparisons = 6, Time = 800 ns
Index 20 (target 42368465): Comparisons = 8, Time = 1100 ns
Index 21 (target 42902936): Comparisons = 9, Time = 1000 ns
Index 22 (target 43635145): Comparisons = 7, Time = 2700 ns
Index 23 (target 45802157): Comparisons = 9, Time = 2300 ns
Index 24 (target 50018117): Comparisons = 8, Time = 1000 ns
Index 25 (target 51472167): Comparisons = 9, Time = 1300 ns
Index 26 (target 53384368): Comparisons = 4, Time = 900 ns
Index 27 (target 53945947): Comparisons = 8, Time = 1100 ns
Index 28 (target 54944534): Comparisons = 9, Time = 700 ns
Index 29 (target 56042935): Comparisons = 7, Time = 600 ns
Index 30 (target 59917185): Comparisons = 8, Time = 600 ns
Index 31 (target 60128932): Comparisons = 9, Time = 800 ns
Index 32 (target 61808507): Comparisons = 6, Time = 500 ns
Index 33 (target 62463591): Comparisons = 8, Time = 700 ns
Index 34 (target 63297242): Comparisons = 9, Time = 1100 ns
Index 35 (target 66304487): Comparisons = 7, Time = 600 ns
Index 36 (target 66891888): Comparisons = 9, Time = 800 ns
Index 37 (target 72680086): Comparisons = 8, Time = 700 ns
Index 38 (target 73319710): Comparisons = 9, Time = 700 ns
Index 39 (target 75096581): Comparisons = 5, Time = 400 ns
Index 40 (target 76620115): Comparisons = 8, Time = 700 ns
Index 41 (target 80054078): Comparisons = 9, Time = 700 ns
Index 42 (target 81264133): Comparisons = 7, Time = 800 ns
Index 43 (target 81446140): Comparisons = 9, Time = 600 ns
Index 44 (target 81706620): Comparisons = 8, Time = 400 ns
Index 45 (target 82220891): Comparisons = 9, Time = 400 ns
Index 46 (target 83399031): Comparisons = 6, Time = 300 ns
Index 47 (target 84258664): Comparisons = 8, Time = 500 ns
Index 48 (target 85213088): Comparisons = 9, Time = 400 ns
Index 49 (target 87880510): Comparisons = 7, Time = 300 ns
Index 50 (target 89398539): Comparisons = 9, Time = 400 ns
Index 51 (target 89515176): Comparisons = 8, Time = 400 ns
Index 52 (target 90059551): Comparisons = 9, Time = 400 ns
Index 53 (target 93461044): Comparisons = 3, Time = 100 ns
Index 54 (target 94992524): Comparisons = 8, Time = 700 ns
Index 55 (target 98106268): Comparisons = 9, Time = 400 ns
Index 56 (target 102104279): Comparisons = 7, Time = 400 ns
Index 57 (target 102617480): Comparisons = 8, Time = 10500 ns
Index 58 (target 104624045): Comparisons = 9, Time = 800 ns
Index 59 (target 108740767): Comparisons = 6, Time = 400 ns
Index 60 (target 109223287): Comparisons = 8, Time = 600 ns
Index 61 (target 109891495): Comparisons = 9, Time = 500 ns
Index 62 (target 111704690): Comparisons = 7, Time = 500 ns
Index 63 (target 113806252): Comparisons = 9, Time = 500 ns
Index 64 (target 114927465): Comparisons = 8, Time = 300 ns
Index 65 (target 116637521): Comparisons = 9, Time = 400 ns
Index 66 (target 119415970): Comparisons = 5, Time = 200 ns
Index 67 (target 119566982): Comparisons = 8, Time = 400 ns
Index 68 (target 123300728): Comparisons = 9, Time = 400 ns
Index 69 (target 124750175): Comparisons = 7, Time = 300 ns
Index 70 (target 127945237): Comparisons = 9, Time = 300 ns
Index 71 (target 128623210): Comparisons = 8, Time = 300 ns
Index 72 (target 128811337): Comparisons = 9, Time = 400 ns
Index 73 (target 129408975): Comparisons = 6, Time = 300 ns
Index 74 (target 129918519): Comparisons = 8, Time = 300 ns
Index 75 (target 136559450): Comparisons = 9, Time = 400 ns
Index 76 (target 142733636): Comparisons = 7, Time = 300 ns
Index 77 (target 143797744): Comparisons = 9, Time = 400 ns
Index 78 (target 145204443): Comparisons = 8, Time = 400 ns
Index 79 (target 146329848): Comparisons = 9, Time = 400 ns
Index 80 (target 149773000): Comparisons = 4, Time = 200 ns
Index 81 (target 153623960): Comparisons = 8, Time = 700 ns
Index 82 (target 153944561): Comparisons = 9, Time = 400 ns
Index 83 (target 159056945): Comparisons = 7, Time = 300 ns
Index 84 (target 162727820): Comparisons = 9, Time = 800 ns
Index 85 (target 163950495): Comparisons = 8, Time = 400 ns
Index 86 (target 173233599): Comparisons = 9, Time = 400 ns
Index 87 (target 177896472): Comparisons = 6, Time = 300 ns
Index 88 (target 178889718): Comparisons = 8, Time = 300 ns
Index 89 (target 186273399): Comparisons = 9, Time = 400 ns
Index 90 (target 191305721): Comparisons = 7, Time = 500 ns
Index 91 (target 201390353): Comparisons = 9, Time = 400 ns
Index 92 (target 205028523): Comparisons = 8, Time = 300 ns
Index 93 (target 206391221): Comparisons = 9, Time = 400 ns
Index 94 (target 208292801): Comparisons = 5, Time = 200 ns
Index 95 (target 208936314): Comparisons = 8, Time = 500 ns
Index 96 (target 209075165): Comparisons = 9, Time = 400 ns
Index 97 (target 210266565): Comparisons = 7, Time = 300 ns
Index 98 (target 213302447): Comparisons = 9, Time = 400 ns
Index 99 (target 215790542): Comparisons = 8, Time = 400 ns
Index 100 (target 216464377): Comparisons = 9, Time = 400 ns
Index 101 (target 217755741): Comparisons = 6, Time = 200 ns
Index 102 (target 220759151): Comparisons = 8, Time = 300 ns
Index 103 (target 224877500): Comparisons = 9, Time = 400 ns
Index 104 (target 225364167): Comparisons = 7, Time = 300 ns
Index 105 (target 226666882): Comparisons = 9, Time = 400 ns
Index 106 (target 227026428): Comparisons = 8, Time = 300 ns
Index 107 (target 227460282): Comparisons = 9, Time = 500 ns
Index 108 (target 228647894): Comparisons = 2, Time = 100 ns
Index 109 (target 229062481): Comparisons = 8, Time = 1000 ns
Index 110 (target 229639711): Comparisons = 9, Time = 400 ns
Index 111 (target 231042157): Comparisons = 7, Time = 800 ns
Index 112 (target 232789231): Comparisons = 8, Time = 400 ns
Index 113 (target 244463145): Comparisons = 9, Time = 300 ns
Index 114 (target 245596851): Comparisons = 6, Time = 300 ns
Index 115 (target 246658919): Comparisons = 8, Time = 400 ns
Index 116 (target 246850853): Comparisons = 9, Time = 400 ns
Index 117 (target 247548723): Comparisons = 7, Time = 600 ns
Index 118 (target 251003277): Comparisons = 9, Time = 700 ns
Index 119 (target 251356715): Comparisons = 8, Time = 300 ns
Index 120 (target 251863261): Comparisons = 9, Time = 400 ns
Index 121 (target 252216260): Comparisons = 5, Time = 400 ns
Index 122 (target 252988734): Comparisons = 8, Time = 400 ns
Index 123 (target 256102521): Comparisons = 9, Time = 600 ns
Index 124 (target 256254710): Comparisons = 7, Time = 300 ns
Index 125 (target 259659961): Comparisons = 9, Time = 400 ns
Index 126 (target 263062745): Comparisons = 8, Time = 300 ns
Index 127 (target 265168377): Comparisons = 9, Time = 400 ns
Index 128 (target 265766066): Comparisons = 6, Time = 400 ns
Index 129 (target 266717033): Comparisons = 8, Time = 400 ns
Index 130 (target 267403767): Comparisons = 9, Time = 400 ns
Index 131 (target 270510458): Comparisons = 7, Time = 300 ns
Index 132 (target 275235278): Comparisons = 9, Time = 500 ns
Index 133 (target 282015077): Comparisons = 8, Time = 400 ns
Index 134 (target 287746990): Comparisons = 9, Time = 400 ns
Index 135 (target 299104244): Comparisons = 4, Time = 100 ns
Index 136 (target 300687137): Comparisons = 8, Time = 500 ns
Index 137 (target 302448247): Comparisons = 9, Time = 300 ns
Index 138 (target 302851073): Comparisons = 7, Time = 300 ns
Index 139 (target 312479949): Comparisons = 8, Time = 300 ns
Index 140 (target 315214612): Comparisons = 9, Time = 300 ns
Index 141 (target 315520471): Comparisons = 6, Time = 300 ns
Index 142 (target 317546639): Comparisons = 8, Time = 500 ns
Index 143 (target 317878692): Comparisons = 9, Time = 400 ns
Index 144 (target 320698835): Comparisons = 7, Time = 300 ns
Index 145 (target 323154709): Comparisons = 9, Time = 600 ns
Index 146 (target 323819116): Comparisons = 8, Time = 300 ns
Index 147 (target 327006185): Comparisons = 9, Time = 400 ns
Index 148 (target 327466593): Comparisons = 5, Time = 200 ns
Index 149 (target 327716237): Comparisons = 8, Time = 1100 ns
Index 150 (target 327718596): Comparisons = 9, Time = 400 ns
Index 151 (target 330964910): Comparisons = 7, Time = 300 ns
Index 152 (target 336923199): Comparisons = 9, Time = 400 ns
Index 153 (target 338186160): Comparisons = 8, Time = 300 ns
Index 154 (target 338951273): Comparisons = 9, Time = 400 ns
Index 155 (target 339316756): Comparisons = 6, Time = 200 ns
Index 156 (target 343205980): Comparisons = 8, Time = 400 ns
Index 157 (target 357590788): Comparisons = 9, Time = 400 ns
Index 158 (target 359774889): Comparisons = 7, Time = 300 ns
Index 159 (target 360827956): Comparisons = 9, Time = 400 ns
Index 160 (target 365220419): Comparisons = 8, Time = 300 ns
Index 161 (target 367087421): Comparisons = 9, Time = 700 ns
Index 162 (target 373437284): Comparisons = 3, Time = 200 ns
Index 163 (target 374073428): Comparisons = 8, Time = 700 ns
Index 164 (target 374501477): Comparisons = 9, Time = 400 ns
Index 165 (target 374743873): Comparisons = 7, Time = 300 ns
Index 166 (target 376761053): Comparisons = 8, Time = 300 ns
Index 167 (target 376887749): Comparisons = 9, Time = 400 ns
Index 168 (target 380481683): Comparisons = 6, Time = 300 ns
Index 169 (target 387056082): Comparisons = 8, Time = 300 ns
Index 170 (target 389372735): Comparisons = 9, Time = 400 ns
Index 171 (target 389643019): Comparisons = 7, Time = 300 ns
Index 172 (target 390419490): Comparisons = 9, Time = 300 ns
Index 173 (target 390493397): Comparisons = 8, Time = 400 ns
Index 174 (target 391528339): Comparisons = 9, Time = 600 ns
Index 175 (target 392799884): Comparisons = 5, Time = 200 ns
Index 176 (target 395596469): Comparisons = 8, Time = 400 ns
Index 177 (target 396653100): Comparisons = 9, Time = 400 ns
Index 178 (target 398228515): Comparisons = 7, Time = 300 ns
Index 179 (target 399936010): Comparisons = 9, Time = 500 ns
Index 180 (target 404052666): Comparisons = 8, Time = 300 ns
Index 181 (target 404577002): Comparisons = 9, Time = 400 ns
Index 182 (target 405508641): Comparisons = 6, Time = 200 ns
Index 183 (target 407666513): Comparisons = 8, Time = 300 ns
